id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DGIR-2020-08-03,GIRONA,,,3428.5,,,,,,2062.9,148.15,,,,43974,0,,false,
DGIR-2020-08-10,GIRONA,,,2345,,,,,,3550,452.94,,,,44862,0,,false,
DGIR-2020-08-17,GIRONA,,,904.67,,,,,,3936.6,148.15,,,,40064.976,0,,false,
DGIR-2020-08-24,GIRONA,,,545140,,,,,,2277700,2812100,,,,41032,0,Canvi metodològic,false,
DGIR-2020-08-31,GIRONA,,,238910,,,,,,805010,254770,,,,43391,0,,false,
DGIR-2020-09-07,GIRONA,,,505350,,,,,,1467200,765590,,,,43944,4.68,,false,
DGIR-2020-09-14,GIRONA,,,313210,,,,,,3786500,72409,,,,43919,,,false,
DGIR-2020-09-21,GIRONA,,,367970,,,,,,2185600,296560,,,,45343,,,false,
DGIR-2020-09-28,GIRONA,,,2842600,,,,,,1236600,1699000,,,,43568.784,,,false,
DGIR-2020-10-05,GIRONA,,,1873200,,,,,,715020,821890,,,,44410.464,,,false,
DGIR-2020-10-12,GIRONA,,,1186600,,,,,,9379300,550620,,,,41875.344,,,false,
DGRA-2020-07-06,GRANOLLERS,,,148.15,,148.15,,,,840070,148.15,,,,27820,0,,false,
DGRA-2020-07-13,GRANOLLERS,,,148.15,,148.15,,,,,1965.7,148.15,148.15,,25376,0,,true,
DGRA-2020-07-20,GRANOLLERS,,,328.03,,148.15,,,,48879,658.49,,,,22436,0,,false,
DGRA-2020-07-27,GRANOLLERS,,,3200.5,,148.15,,,,127180,19669,,,,22592,0,,false,
DGRA-2020-08-03,GRANOLLERS,,,2741.2,,,,,,929.29,1326.6,,,,27776,0,,false,
DGRA-2020-08-10,GRANOLLERS,,,2193.7,,,,,,13692,306.5,,,,18958,0,,false,
DGRA-2020-08-17,GRANOLLERS,,,7180.8,,,,,,1293.9,2356.7,,,,19206,0,,false,
DGRA-2020-08-24,GRANOLLERS,,,1338300,,,,,,800970,3257200,,,,18945,0,Canvi metodològic,false,
DGRA-2020-08-31,GRANOLLERS,,,2025500,,,,,,1102000,945190,,,,21976,0,,false,
DGRA-2020-09-07,GRANOLLERS,,,454120,,,,,,1284200,226910,,,,26000,0,,false,
DGRA-2020-09-14,GRANOLLERS,,,3463600,,,,,,1089000,180660,,,,22122,0,,false,
DGRA-2020-09-21,GRANOLLERS,,,1414700,,,,,,2081700,675830,,,,23774,0,,false,
DGRA-2020-09-28,GRANOLLERS,,,164060,,,,,,2033400,538500,,,,22782,0,,false,
DGRA-2020-10-05,GRANOLLERS,,,1411300,,,,,,1235400,1067200,,,,21988,0,,false,
DGRA-2020-10-12,GRANOLLERS,,,1377500,,,,,,1970000,328510,,,,,,,false,
DGVC-2020-07-06,GAVÀ/VILADECANS,17810000,,685.71,34153,685.71,,,,,,,,,50568,0,,false,
DGVC-2020-07-13,GAVÀ/VILADECANS,10252000,,3093,15106,761.9,,,,,,,,,46000,0,,false,
DGVC-2020-07-20,GAVÀ/VILADECANS,33751,41552,3986.1,39449,,,,,,,,,,463430,0,,false,
DGVC-2020-07-28,GAVÀ/VILADECANS,80083,10177,2922.8,6473.6,,,,,,,,,,,,,false,
DGVC-2020-08-03,GAVÀ/VILADECANS,11982000,10222,9047.2,261280,,,,,,,,,,53170,0,,false,
DGVC-2020-08-10,GAVÀ/VILADECANS,4416800,214.29,1585,1912.4,,,,,,,,,,40615,0,,true,
DGVC-2020-08-17,GAVÀ/VILADECANS,35008000,42454,72210,538.06,,,,,,,,,,40600,0,,false,
DGVC-2020-08-24,GAVÀ/VILADECANS,47016000,27345,117950,85139,,,,,,,,,,420830,0,,false,
DGVC-2020-08-31,GAVÀ/VILADECANS,9081100,2302.2,11205,1246.9,,,,,,,,,,40000,0,,false,
DGVC-2020-09-07,GAVÀ/VILADECANS,7783800,1255.5,11146,273.84,,,,,,,,,,50000,0,,false,
DGVC-2020-09-14,GAVÀ/VILADECANS,10876000,25567,4295.6,30079,,,,,,,,,,40880,0,,false,
DGVC-2020-09-21,GAVÀ/VILADECANS,28505000,954.96,3373.5,12748,,,,,,,,,,452650,0,,false,
DGVC-2020-09-28,GAVÀ/VILADECANS,10891000,11769,7473.2,,,,,,,,,,,406210,0,,false,
DGVC-2020-10-05,GAVÀ/VILADECANS,1839100,10138,8654.4,,,,,,,,,,,42000,0,,false,
DGVC-2020-10-12,GAVÀ/VILADECANS,2894200,19369,35535,4228.1,,,,,,,,,,58700,70,,false,
DIGU-2020-07-06,IGUALADA,14100000,,489.8,489.8,489.8,,,,,,,,,26570,0,,false,
DIGU-2020-07-13,IGUALADA,5722000,,5860.7,5134.9,714.29,,,,,,,,,257160,0,,true,
DIGU-2020-07-20,IGUALADA,9016.1,214.29,214.29,6483.1,,,,,,,,,,23990,0,,false,
DIGU-2020-07-28,IGUALADA,202770,214.29,214.29,7943.5,,,,,,,,,,,,,false,
DIGU-2020-08-03,IGUALADA,41637000,571.43,62475,465000,,,,,,,,,,24389,0,Valor confirmat,false,
DIGU-2020-08-10,IGUALADA,5021400,257.14,16750,22266,,,,,,,,,,20814,0,,true,
DIGU-2020-08-17,IGUALADA,9177800,8569.1,11840,32787,,,,,,,,,,21330,0,,false,
DIGU-2020-08-24,IGUALADA,6316300,336.25,7116.7,14660,,,,,,,,,,19130,0,,false,
DIGU-2020-08-31,IGUALADA,42338000,10623,37592,1301.5,,,,,,,,,,22456,0,,false,
DIGU-2020-09-07,IGUALADA,26814000,2889.9,82467,11662,,,,,,,,,,21450,,,false,
DIGU-2020-09-14,IGUALADA,26931000,396.43,6590.5,71050,,,,,,,,,,22490,,,true,
DIGU-2020-09-21,IGUALADA,49854000,353.57,654.55,46435,,,,,,,,,,24270,,,true,
DIGU-2020-09-28,IGUALADA,12071000,6488.8,528.53,,,,,,,,,,,19993,,,true,
DIGU-2020-10-05,IGUALADA,824860,4424,679.92,,,,,,,,,,,21115,,,false,
DIGU-2020-10-12,IGUALADA,3045700,6442.3,10315,31100,,,,,,,,,,19989,,,true,
DLDM-2020-07-06,LLORET_DE_MAR,20221000,,609.52,19108,609.52,,,,,,,,,13880,0,,false,
DLDM-2020-07-20,LLORET_DE_MAR,75556,1293.1,3444.4,5688.2,,,,,,,,,,12480,0,,false,
DLDM-2020-08-03,LLORET_DE_MAR,96068000,137.14,314.99,4261.6,,,,,,,,,,17000,0,,true,
DLDM-2020-08-17,LLORET_DE_MAR,14395000,752.39,22631,32462,,,,,,,,,,14000,0,,false,
DLDM-2020-08-31,LLORET_DE_MAR,18543000,42724,206130,3024,,,,,,,,,,13430,0,,false,
