id mostra,depuradora,N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DBAL-2022-09-05,BALAGUER,27192,70645,,,8315,0,,false
DBAL-2022-09-12,BALAGUER,13121,55426,,,,,,false
DBAL-2022-09-19,BALAGUER,45161,71086,,,9078,0,,false
DBAL-2022-09-27,BALAGUER,36759,35535,,,,,,false
DBAL-2022-10-03,BALAGUER,123563,211177,,,7344,0,,false
DBAY-2020-07-06,BANYOLES,100,,100,100,11707,0,,false
DBAY-2020-07-13,BANYOLES,148,,148,148,12415,1,,false
DBAY-2020-07-20,BANYOLES,148,,3520,148,11990,0,,false
DBAY-2020-07-27,BANYOLES,148,,148,148,11942,0,,false
DBAY-2020-08-03,BANYOLES,1482,,149,,11912,0.1,,false
DBAY-2020-08-10,BANYOLES,148,,2170,,12416,0,,false
DBAY-2020-08-17,BANYOLES,17153,,148,,9891,0,,false
DBAY-2020-08-24,BANYOLES,57044,,5251,,9988,0,Canvi metodològic,false
DBAY-2020-08-31,BANYOLES,77649,,9506,,10714,0,,false
DBAY-2020-09-07,BANYOLES,43419,,789,,12527,0,,false
DBAY-2020-09-14,BANYOLES,54882,,1029,,10969,0,,false
